promo_applied,spend_90d,tenure_months,past_purchases,age
0,66.38,19,11,22
1,133.32,43,4,54
0,84.69,47,6,56
1,121.08,45,11,25
1,92.07,7,5,41
0,61.84,4,18,19
1,127.13,20,15,19
1,104.54,28,0,60
0,15.95,30,1,32
0,107.65,4,7,51
0,74.52,39,2,28
0,122.56,26,2,44
0,107.88,16,9,59
1,167.08,32,24,51
0,61.74,14,1,35
1,89.97,11,4,62
1,103.52,34,2,45
1,149.5,41,5,36
1,95.84,47,2,32
1,128.42,47,10,29
1,86.17,34,2,50
0,36.01,19,1,33
0,62.3,10,7,38
0,70.28,21,14,56
0,107.89,13,0,61
0,98.79,2,0,26
1,103.51,23,3,22
1,71.5,9,9,32
1,139.11,47,3,49
1,58.61,20,3,31
0,153.36,38,16,54
1,80.26,25,9,28
0,68.86,29,3,55
1,87.33,20,3,40
0,99.44,37,14,19
1,48.88,6,4,45
1,116.55,25,3,48
1,103.4,8,5,40
0,43.58,2,2,55
0,70.19,45,5,21
1,98.77,33,7,26
0,66.41,47,1,27
1,111.32,42,4,56
0,73.79,10,5,42
0,89.26,8,17,61
1,89.19,37,4,39
0,86.35,21,14,49
0,70.13,34,6,20
1,115.84,39,3,37
0,93.52,29,18,59
1,124.11,34,8,59
0,78.52,30,4,22
0,75.69,16,0,62
0,184.36,24,43,56
1,57.73,1,8,18
1,94.39,8,2,45
0,115.07,3,5,60
0,78.14,3,3,40
0,72.87,39,1,50
0,69.12,12,3,29
0,47.88,26,3,34
0,107.02,32,6,56
0,83.51,17,3,46
0,109.2,2,18,48
0,100.58,13,3,64
1,72.33,22,10,25
1,107.46,38,3,21
0,97.54,7,6,31
1,121.81,41,4,43
0,99.29,41,5,51
0,100.87,17,11,59
1,129.84,34,7,33
0,68.61,2,5,62
1,109.16,47,5,30
1,101.28,32,3,41
1,108.18,37,6,41
0,94.07,17,0,35
0,63.11,15,6,21
0,84.8,16,15,27
1,128.67,45,5,60
1,86.89,28,1,61
1,68.57,16,7,64
1,146.33,47,2,62
1,84.6,10,4,39
0,64.74,10,2,44
0,90.52,8,1,61
0,95.48,1,6,36
1,109.75,40,7,26
0,103.2,14,5,54
1,107.3,44,2,49
0,86.02,5,0,47
0,76.46,1,1,25
1,109.45,14,10,35
1,56.98,20,1,45
0,65.88,19,2,47
0,105.89,21,7,22
1,103.1,22,3,42
0,100.33,9,5,38
1,89.05,30,4,56
0,66.8,21,9,39
0,36.3,9,1,41
0,117.1,14,17,57
0,125.06,31,2,40
0,135.88,23,6,53
0,72.24,35,2,32
0,88.43,11,2,21
0,0.53,28,4,18
0,83.63,23,4,60
1,85.35,21,6,35
1,131.9,23,2,50
1,111.68,46,3,25
1,88.91,26,3,45
0,95.17,17,7,55
0,96.0,1,1,63
1,95.61,36,1,23
0,107.32,4,4,57
0,59.63,37,4,25
1,69.97,15,6,18
0,83.4,22,6,29
1,110.38,25,3,40
0,101.0,36,9,49
1,88.41,29,3,29
1,126.53,46,14,45
0,183.13,40,26,59
1,129.93,26,17,27
1,115.9,44,12,27
1,71.27,47,1,42
0,100.88,1,2,41
1,120.78,40,12,47
1,89.74,28,4,53
0,50.72,15,2,23
1,92.21,33,5,41
0,89.1,12,8,63
0,89.79,18,10,37
1,71.57,18,4,43
1,98.92,33,14,27
1,43.5,18,0,30
1,76.86,5,9,34
0,96.09,34,1,43
1,71.86,16,6,39
1,125.75,43,9,41
0,122.21,17,6,63
0,89.52,9,10,23
0,43.4,9,2,36
1,49.19,34,1,29
1,102.91,27,6,41
1,111.24,36,3,47
1,142.16,46,1,47
1,68.83,46,3,25
1,134.3,33,7,64
1,144.57,46,7,60
0,60.94,17,2,46
0,119.77,29,4,45
0,61.47,23,6,35
0,65.46,5,1,53
0,150.99,28,36,41
1,112.54,47,3,18
0,73.22,23,4,45
0,120.41,18,3,42
1,88.04,30,6,35
0,93.78,4,3,41
0,92.84,39,15,60
0,66.32,5,7,54
1,80.98,12,10,19
1,75.0,19,5,22
1,90.75,27,0,27
0,53.15,3,5,19
0,65.84,30,4,53
0,69.16,13,3,40
1,107.54,17,5,63
0,74.07,7,6,23
0,75.54,46,2,58
1,98.1,26,15,51
1,64.24,3,1,45
0,58.74,8,1,43
0,27.52,40,4,36
0,63.7,39,3,33
0,41.58,13,5,23
1,70.93,3,5,58
1,94.41,28,2,62
1,73.13,9,8,47
1,71.99,19,3,34
0,92.51,10,2,21
0,86.31,21,7,35
1,79.52,17,6,34
0,89.56,27,6,64
0,104.63,9,12,31
0,109.95,8,4,54
1,97.58,17,11,25
0,75.06,20,3,54
0,40.72,25,1,56
0,46.4,12,4,22
1,91.47,7,2,54
1,86.73,37,3,33
1,137.91,43,3,43
0,16.79,10,3,25
0,100.75,21,6,21
0,87.81,22,13,55
1,144.99,47,2,57
1,92.16,12,8,28
0,70.95,1,9,28
1,73.15,20,4,21
0,94.87,39,17,28
1,103.57,34,4,54
1,118.87,38,4,61
0,80.86,28,8,42
1,106.49,38,2,39
1,138.17,21,14,61
0,100.74,11,6,49
0,98.11,26,12,42
1,79.09,12,8,47
0,104.27,20,4,32
1,56.3,7,6,54
0,110.02,18,4,52
1,111.17,42,3,52
1,82.92,29,4,24
1,124.0,24,13,28
1,141.72,37,3,26
1,84.47,27,6,21
1,85.02,29,3,27
0,82.75,34,7,41
0,136.91,27,3,62
0,111.25,17,11,62
1,112.32,40,1,41
0,52.7,19,4,63
1,132.77,16,6,44
1,63.7,6,1,28
1,114.94,39,3,62
1,126.25,26,18,18
1,64.44,1,8,36
0,83.43,41,11,44
1,174.22,34,13,21
1,142.14,43,12,57
1,114.57,43,8,19
1,98.23,11,11,32
0,96.09,22,4,55
1,97.47,14,10,61
1,104.87,45,1,29
1,87.93,29,0,45
0,105.91,4,36,33
1,71.33,6,3,33
0,105.46,5,3,23
0,101.58,8,8,62
0,87.58,26,1,54
1,104.7,33,6,40
1,117.03,34,1,54
1,117.64,45,1,18
1,88.3,5,3,63
1,85.86,22,1,34
1,128.67,42,0,47
1,96.07,8,13,64
1,174.63,47,6,53
0,77.89,15,4,37
1,134.52,34,6,48
1,63.63,10,1,49
0,87.27,23,4,36
0,73.07,6,2,39
0,122.96,2,8,53
1,45.87,13,3,28
1,53.02,7,1,48
0,37.06,36,1,20
0,90.0,27,0,52
0,85.22,1,14,24
1,112.83,47,0,62
0,108.32,6,1,38
1,100.83,37,2,53
0,58.66,39,3,36
0,125.26,11,16,52
0,59.16,9,4,30
0,79.84,42,8,54
0,83.52,13,4,61
0,81.03,37,6,28
1,99.37,24,7,57
0,79.34,8,7,62
1,57.14,13,3,41
0,95.72,4,5,58
1,107.35,29,4,52
0,121.33,8,20,46
1,62.34,1,2,56
1,114.79,29,1,50
1,106.9,31,4,59
1,128.02,40,4,32
1,88.71,2,5,38
1,65.76,27,2,25
1,88.83,19,1,62
0,99.88,10,4,18
1,46.13,19,0,49
1,89.61,36,1,42
0,40.46,5,1,20
1,146.24,25,11,55
1,104.25,20,0,41
0,86.13,5,5,61
0,92.61,2,1,56
0,54.49,33,2,34
1,79.82,7,2,49
0,88.39,45,1,52
0,67.06,15,1,26
1,60.34,11,1,49
0,63.18,23,3,48
0,42.21,6,12,21
0,63.58,44,2,36
1,114.0,37,5,60
1,91.46,26,6,57
0,48.94,7,8,38
0,100.5,13,2,33
1,121.78,34,4,49
0,104.66,21,1,47
0,33.88,40,4,18
0,75.86,36,4,58
1,94.77,29,10,53
0,100.58,32,3,57
1,69.31,14,4,27
1,74.76,13,3,64
0,39.68,30,5,52
1,103.41,35,7,47
0,58.58,8,0,50
0,66.48,44,5,30
0,86.19,31,9,54
1,72.21,25,9,54
0,71.74,32,9,54
0,83.14,36,4,35
0,89.08,15,2,58
0,57.34,15,7,37
1,121.07,25,4,26
0,65.95,16,3,25
0,103.03,29,9,64
1,102.48,29,3,48
0,99.96,9,1,45
1,100.7,19,4,41
1,123.83,32,4,42
0,116.04,26,17,19
0,57.15,15,3,20
1,60.96,3,1,49
1,120.27,31,4,61
0,41.64,20,4,20
0,100.21,8,11,50
1,77.92,47,4,23
0,96.68,31,1,34
0,55.77,1,1,59
1,90.4,30,5,37
1,83.84,40,1,41
0,65.98,3,6,37
1,132.08,38,15,34
1,102.44,39,3,24
1,87.88,35,5,22
0,102.67,45,17,61
0,30.73,39,2,52
0,90.1,21,6,26
0,97.17,14,5,63
1,74.64,12,3,27
1,76.34,32,0,47
0,69.82,10,2,54
1,137.68,38,5,47
1,129.12,34,16,22
1,116.89,29,2,53
1,104.0,20,2,55
0,92.73,20,7,57
1,157.13,7,13,43
0,91.89,35,6,52
1,94.4,17,6,37
1,137.59,30,11,62
0,101.59,25,4,29
0,86.61,25,5,55
0,94.82,5,5,34
1,152.53,45,11,63
0,98.75,10,14,28
0,42.91,30,4,45
1,127.14,10,24,52
1,110.42,40,2,56
1,143.5,46,12,59
1,36.82,7,2,39
1,117.79,15,2,64
0,56.09,4,3,33
1,123.83,28,13,27
0,71.21,16,1,34
1,164.78,33,2,48
1,165.43,40,28,63
0,77.37,26,3,59
1,132.39,29,7,52
0,62.24,44,1,31
1,75.71,17,2,64
1,90.99,28,2,53
0,84.15,2,3,26
0,72.68,17,1,41
0,64.71,27,2,42
0,63.83,19,10,51
1,133.72,26,24,26
1,138.37,44,3,34
1,97.19,33,9,26
0,84.15,43,1,52
1,38.39,20,1,21
1,87.77,19,3,53
0,22.29,31,3,22
0,102.51,26,3,43
1,95.12,42,2,23
0,91.55,24,11,36
1,109.15,26,1,56
1,131.45,38,5,31
0,101.03,36,1,38
1,70.71,10,4,29
0,91.44,4,0,20
1,87.23,7,10,63
0,102.8,10,7,58
1,87.62,13,2,33
0,91.62,37,7,21
1,36.26,12,3,41
0,85.73,11,7,33
1,130.66,40,1,54
0,54.58,18,4,26
1,133.88,45,4,54
1,98.0,43,3,24
0,123.28,15,8,30
0,61.77,25,3,22
0,20.64,30,1,29
0,92.31,19,2,30
0,67.94,9,1,25
1,93.07,34,4,45
0,116.49,19,4,52
1,121.87,47,1,39
1,72.3,44,5,33
1,176.1,46,17,61
1,85.3,20,8,52
0,82.93,32,4,20
1,71.37,26,6,59
1,64.53,1,13,40
0,83.29,7,2,39
1,107.85,27,8,41
0,83.87,28,0,46
0,119.75,11,24,51
0,77.96,20,3,48
1,109.79,43,3,41
0,141.23,46,22,63
0,85.92,4,7,36
1,127.59,23,23,19
1,99.21,34,4,25
0,126.91,31,2,49
0,84.62,32,1,49
1,114.49,47,1,47
0,91.9,9,4,53
1,80.81,19,6,54
0,65.99,31,7,42
1,138.87,40,3,40
0,74.82,21,5,58
1,121.31,34,17,47
1,89.48,43,4,28
1,113.14,37,2,20
0,87.5,5,5,33
0,76.68,39,4,55
1,133.55,42,13,23
1,24.25,11,4,20
1,135.19,43,3,43
0,50.65,1,2,23
0,78.0,27,1,43
1,55.63,18,3,50
0,51.88,14,2,43
1,91.37,42,3,30
0,69.35,14,2,18
1,60.93,32,0,23
1,122.67,39,2,46
1,125.72,47,1,49
1,60.85,4,6,24
1,57.83,11,1,57
1,67.95,33,2,33
1,53.64,13,9,40
1,79.99,21,5,18
0,89.51,29,2,31
0,68.07,36,4,19
0,76.88,34,1,32
1,106.94,37,5,39
1,96.13,43,4,36
0,65.12,13,4,60
1,112.93,30,1,56
1,121.83,23,10,51
0,89.02,46,5,38
0,48.03,2,2,26
0,90.46,25,5,60
1,69.23,19,10,22
0,42.7,2,6,30
0,102.19,14,1,55
0,77.66,22,1,48
1,119.71,45,5,62
1,86.88,43,2,43
1,90.63,22,10,38
1,91.63,4,8,63
0,106.5,8,4,58
1,125.58,29,12,50
1,104.26,38,2,34
0,70.74,41,9,37
0,92.87,16,1,42
0,94.71,29,12,26
1,58.86,1,7,53
0,100.22,40,13,33
0,99.49,32,6,52
1,105.95,43,3,64
1,125.81,46,5,52
1,100.1,16,3,60
0,61.64,10,4,47
1,62.56,9,3,33
0,74.92,35,0,28
0,58.97,9,1,38
0,84.69,17,15,22
1,72.65,13,4,23
1,151.55,35,11,60
1,83.5,35,7,60
0,95.75,4,6,57
1,96.55,39,3,48
1,152.74,24,19,47
1,130.52,38,0,57
0,95.46,47,4,35
1,102.91,22,22,34
1,153.9,34,8,55
1,117.03,34,2,56
1,48.86,12,4,34
0,111.48,47,4,50
0,105.5,33,1,56
1,138.57,8,5,43
0,103.0,17,5,42
0,78.05,29,10,32
1,86.53,13,2,18
1,117.78,6,24,54
0,88.67,19,3,29
0,99.23,30,3,62
1,84.96,23,2,58
0,105.22,3,2,64
0,69.78,5,6,57
1,113.6,16,4,45
1,75.33,11,5,23
1,106.03,40,2,46
0,62.41,8,13,41
1,80.19,37,4,33
0,88.21,16,5,57
1,101.08,43,7,24
1,71.93,16,0,38
1,129.61,41,12,30
0,80.16,40,1,34
1,94.19,26,1,29
1,133.91,43,7,31
0,102.68,6,2,34
0,37.88,33,1,58
1,58.93,7,5,26
1,135.5,40,5,30
0,133.9,11,25,43
1,99.14,31,4,25
0,84.24,30,4,26
1,68.55,26,3,64
0,102.54,34,13,25
0,56.18,2,3,27
1,132.04,25,10,48
1,57.69,17,4,47
1,113.63,12,8,54
0,115.03,15,4,62
0,88.12,14,4,46
1,136.85,46,1,40
0,65.06,10,0,20
0,73.26,39,3,23
0,98.89,39,14,60
0,40.69,16,3,40
1,121.73,38,14,53
1,102.37,46,2,26
1,137.39,44,4,46
1,120.61,38,2,55
0,59.16,39,1,26
0,89.4,8,8,21
0,110.27,44,6,35
0,74.85,4,4,57
0,93.43,15,5,28
1,113.65,16,12,63
0,90.3,35,4,55
0,114.45,12,16,47
1,111.76,44,1,61
0,46.8,22,3,27
1,76.57,34,4,21
0,94.9,9,4,29
0,87.67,35,2,34
1,91.4,19,1,52
0,93.53,12,13,29
1,154.96,37,5,44
1,141.47,46,5,59
1,144.55,21,8,58
1,116.0,38,7,34
1,102.74,23,1,27
1,103.22,31,3,49
1,72.96,12,3,50
0,64.05,21,2,54
1,111.2,36,4,38
1,107.68,35,6,55
0,72.39,45,5,23
1,103.99,23,1,59
1,106.98,23,4,43
0,102.35,46,11,49
0,73.08,35,0,43
1,129.83,47,8,35
0,60.91,46,2,40
1,113.47,39,20,23
0,66.79,26,0,20
1,114.44,19,10,40
1,43.15,5,7,42
1,58.21,1,6,39
1,147.07,47,18,55
0,113.46,23,12,21
0,73.27,6,4,33
0,91.05,37,1,29
1,156.18,40,9,63
1,140.06,44,16,39
1,57.56,11,5,48
1,107.95,45,1,31
1,81.37,4,1,31
0,88.75,7,7,31
0,110.6,18,6,59
0,69.42,22,9,42
0,57.12,4,1,50
1,107.81,33,2,64
0,97.09,26,3,27
1,120.88,15,19,39
0,91.77,3,2,42
1,108.66,16,6,47
1,95.55,23,2,61
0,61.31,43,4,46
0,121.92,12,9,26
1,140.63,42,10,31
1,104.04,31,2,62
0,96.19,14,2,53
1,109.96,22,4,57
1,123.78,41,2,54
1,108.04,30,4,56
0,90.04,3,2,38
0,35.71,20,2,21
1,122.55,45,3,32
1,113.84,27,4,38
1,104.59,16,3,54
1,74.24,12,12,39
0,53.35,15,3,46
0,104.94,12,2,63
1,60.91,38,1,34
0,112.06,1,7,23
0,100.23,20,1,64
1,140.15,43,3,35
1,102.21,45,3,34
0,60.01,27,2,37
1,84.39,31,13,37
1,107.39,17,2,64
0,85.27,6,8,33
1,118.77,46,10,36
1,121.15,39,1,32
0,112.86,11,6,39
0,95.12,12,12,25
1,63.19,12,3,49
1,66.92,13,3,44
0,71.91,47,2,22
0,90.89,14,5,18
0,136.06,44,2,52
1,126.0,41,5,45
0,110.1,6,8,63
1,179.16,36,16,57
1,128.59,38,0,25
0,79.64,11,6,24
0,91.36,4,5,29
1,63.3,24,3,41
0,67.63,31,14,39
0,84.35,38,11,28
0,99.85,2,20,26
1,63.7,3,14,41
0,94.74,3,5,47
1,159.38,43,3,48
0,108.77,44,2,36
1,41.59,15,2,20
1,128.0,37,9,19
0,56.27,23,7,19
1,57.97,15,2,32
1,92.09,19,4,55
1,123.97,45,3,51
1,83.12,21,2,60
1,70.68,20,3,44
1,133.26,36,2,32
1,68.41,36,2,32
0,78.18,4,4,55
1,164.33,46,9,35
0,84.05,29,1,32
0,106.89,5,5,49
1,186.44,40,20,55
0,70.12,18,4,58
1,127.65,40,13,26
0,80.86,8,2,29
0,97.39,6,6,54
1,97.97,39,5,26
0,88.67,5,9,41
1,77.78,5,5,46
0,67.76,13,2,50
1,92.69,31,2,27
0,70.68,3,4,27
1,112.83,32,3,20
1,94.81,31,0,58
1,85.57,9,10,19
1,70.97,40,2,23
0,75.89,18,3,38
0,81.42,39,5,39
1,130.71,36,14,47
0,78.5,18,3,23
0,87.11,6,8,47
1,142.76,43,10,52
0,70.32,31,2,31
0,94.83,37,7,27
1,109.06,14,22,43
0,71.31,13,3,40
1,43.32,19,4,50
0,76.4,5,1,31
1,69.72,27,1,43
1,138.41,46,11,41
1,58.28,12,1,18
0,131.79,3,8,54
0,74.69,11,2,41
0,60.8,34,4,30
1,71.57,2,1,42
1,112.76,8,3,40
1,83.51,40,1,19
1,145.64,47,1,50
0,83.29,14,7,35
1,38.77,28,3,22
1,161.17,40,9,57
0,63.21,26,4,54
1,92.97,43,2,42
1,107.13,42,7,61
1,86.37,41,7,46
1,123.63,33,6,52
0,96.63,26,3,23
1,93.89,33,2,62
0,69.26,35,9,41
1,68.44,23,3,32
1,126.89,36,8,45
0,77.36,35,4,53
0,94.27,1,2,50
1,134.11,41,4,35
1,118.28,21,21,31
0,93.27,13,10,62
1,137.55,45,16,45
0,61.54,8,6,38
0,63.68,32,4,52
1,110.42,40,3,48
1,122.52,40,9,31
1,151.69,47,2,64
1,82.96,12,5,61
0,63.65,13,3,53
0,120.65,10,18,64
0,86.24,2,2,39
1,113.4,30,1,41
0,90.17,9,3,42
0,63.59,2,1,32
0,103.16,16,5,59
1,70.56,14,7,23
0,74.19,12,11,54
1,91.63,9,3,53
0,71.4,33,6,62
1,86.19,33,1,37
1,66.86,5,3,46
1,139.37,45,1,63
1,108.61,6,18,52
0,42.26,1,5,21
0,68.54,30,12,31
0,73.9,39,6,33
0,71.21,36,1,39
1,88.5,33,11,27
0,100.25,21,14,22
1,131.46,36,5,22
1,114.05,14,12,40
0,69.59,8,0,25
0,56.73,2,2,41
1,93.05,22,2,44
1,109.75,47,24,25
1,69.72,28,3,22
1,88.94,30,6,36
1,127.52,29,8,48
1,108.88,43,4,41
1,85.23,10,2,56
0,182.16,13,47,27
1,62.65,3,2,45
0,93.41,2,1,53
0,59.58,15,6,50
1,51.45,14,2,57
1,84.75,5,1,36
1,168.06,40,10,46
1,138.28,35,3,64
1,188.42,28,33,46
1,87.81,23,2,58
0,123.76,20,12,45
1,106.03,28,4,41
0,57.54,12,2,56
0,104.44,34,14,28
1,56.1,18,2,39
1,107.88,26,5,53
1,97.93,4,11,46
1,113.22,20,23,32
1,117.92,32,21,24
0,86.24,15,11,36
0,96.49,46,5,57
1,132.33,24,7,51
1,68.36,31,4,56
0,71.55,11,4,23
1,121.58,30,7,43
0,55.03,42,4,22
1,66.56,6,4,64
1,185.66,27,52,18
1,76.07,44,3,20
0,60.09,16,1,46
1,126.29,43,2,43
0,68.53,24,5,43
1,97.55,39,2,35
1,55.61,1,4,46
0,64.89,17,12,37
1,117.33,32,5,33
0,91.37,17,1,59
0,80.38,31,10,32
0,81.6,7,19,31
0,97.08,24,12,38
0,100.94,38,4,55
1,145.79,37,4,50
0,51.66,24,10,32
1,122.05,19,10,59
1,151.94,40,25,41
0,97.79,10,10,52
0,101.49,8,6,54
1,123.62,40,4,40
1,99.81,45,3,30
0,80.41,14,6,26
0,79.26,13,2,25
1,69.25,16,5,52
0,64.77,5,4,43
1,115.44,43,6,36
0,68.8,10,7,51
1,121.85,47,2,51
1,96.86,37,1,20
1,34.18,4,2,25
1,108.16,24,5,56
1,45.63,12,1,48
1,99.7,15,6,25
0,82.71,13,24,22
1,147.51,46,2,52
1,105.47,28,1,57
1,79.19,24,3,40
1,137.49,43,5,44
1,135.09,46,4,48
1,105.98,21,5,49
1,124.48,33,7,56
1,85.24,17,6,60
1,130.51,44,5,29
0,79.29,24,1,20
1,112.63,41,7,52
0,66.78,46,1,40
0,89.83,29,2,23
1,42.81,15,2,42
1,110.09,45,4,36
1,177.82,46,14,59
1,112.58,41,0,60
0,68.41,7,3,22
1,125.57,27,2,64
1,114.15,41,3,56
0,87.05,19,8,60
0,62.69,39,2,38
1,103.01,22,2,60
0,83.59,4,7,43
1,103.07,33,0,55
1,110.35,24,5,60
0,96.8,43,6,18
0,69.53,20,1,22
1,116.77,42,3,32
0,122.35,14,9,53
1,101.68,43,0,41
1,128.32,47,11,51
0,118.89,6,6,57
1,103.09,25,1,31
0,49.84,40,10,51
1,131.22,47,1,64
1,134.29,35,4,51
0,67.6,21,3,30
0,114.68,31,2,63
1,111.84,46,6,45
0,107.93,26,2,59
1,79.55,34,3,28
1,60.39,9,7,22
0,82.19,37,3,22
0,86.6,10,4,49
1,127.6,30,3,25
0,96.27,3,5,47
1,69.52,12,8,59
0,111.38,37,5,34
1,96.03,13,4,63
1,94.99,24,1,45
1,111.0,26,3,49
1,81.77,16,1,42
1,100.7,46,0,30
1,140.74,28,5,34
0,90.3,24,2,35
1,100.14,3,11,52
0,31.61,23,9,38
1,123.5,42,8,58
1,112.99,31,2,20
0,78.42,19,1,62
1,100.45,37,2,29
0,75.6,45,4,44
0,110.29,8,2,63
1,103.75,41,1,25
1,77.22,38,4,53
0,130.11,42,9,63
0,190.19,20,63,33
1,106.59,19,5,58
1,87.51,22,1,53
1,93.68,23,4,42
1,93.28,29,3,29
0,56.7,2,3,19
0,80.23,45,4,50
1,100.14,26,13,56
1,92.09,31,5,30
0,58.63,14,0,29
1,107.95,37,3,64
0,40.33,6,8,37
1,112.49,19,2,40
1,142.76,39,1,57
0,90.45,44,4,56
0,101.68,24,4,55
1,102.78,20,3,43
1,87.73,13,3,44
0,81.21,25,2,18
1,128.38,39,9,56
1,80.79,38,5,27
0,103.47,42,8,64
0,68.54,10,5,29
1,113.32,43,4,53
0,64.96,1,6,47
0,78.28,45,2,18
1,132.15,44,4,19
0,73.38,18,2,44
0,92.29,24,2,63
1,130.42,47,3,41
0,52.8,28,1,34
1,112.9,22,7,31
0,21.98,16,1,22
0,80.69,10,5,56
0,96.56,6,10,18
1,44.55,23,4,20
1,48.93,22,6,47
1,81.47,6,3,38
1,141.78,42,5,63
1,105.93,21,5,28
1,113.16,28,5,39
1,103.83,23,9,45
1,117.69,23,20,59
1,111.03,44,3,50
1,168.01,40,13,54
0,106.69,32,2,58
0,72.98,34,2,27
0,64.15,12,2,18
0,91.44,9,6,54
1,130.1,47,8,20
1,116.23,40,5,36
1,150.96,46,11,25
1,127.93,36,19,20
0,92.86,15,5,43
1,117.76,26,13,33
1,187.74,2,38,23
0,87.47,30,5,51
0,69.97,12,12,60
0,69.36,1,2,25
0,49.06,18,11,54
0,97.34,1,2,44
1,105.93,13,3,39
1,159.78,38,11,59
0,85.95,14,2,50
0,99.98,35,3,18
1,95.49,34,3,27
1,106.38,13,9,57
0,107.13,40,12,20
0,53.74,22,3,51
1,134.35,31,9,35
1,133.38,46,7,43
0,112.14,11,11,56
1,55.52,30,2,23
0,108.02,47,2,43
0,47.6,45,0,51
1,120.73,33,2,36
0,109.99,21,18,20
1,104.7,29,1,57
0,77.22,3,9,22
1,153.9,28,5,44
0,59.61,10,9,23
0,41.26,24,0,38
0,93.19,16,6,60
1,131.01,40,3,45
0,77.9,10,3,59
0,71.27,23,3,31
1,67.22,37,3,26
1,123.07,22,3,54
1,74.65,22,2,64
1,115.91,47,1,57
0,78.92,40,6,29
0,42.02,15,1,46
1,78.21,35,1,29
0,73.23,2,2,36
1,71.91,9,1,30
1,133.85,32,3,56
0,79.68,42,10,57
1,129.07,42,5,36
1,171.55,33,12,45
1,84.03,31,3,45
0,47.86,10,0,42
0,68.89,36,3,56
1,93.14,9,4,59
1,90.79,3,4,44
1,53.22,40,5,18
1,141.78,37,3,64
0,118.52,40,9,26
1,77.95,24,1,30
0,58.26,47,2,38
1,122.6,11,19,60
1,125.66,15,5,58
0,69.77,23,1,55
0,87.78,18,13,37
0,87.13,19,3,63
1,121.02,46,6,41
1,104.43,16,9,40
1,81.93,15,15,19
1,109.91,32,6,26
1,132.21,44,0,53
1,119.02,45,5,40
1,127.47,37,12,41
1,86.13,31,1,58
1,120.52,36,5,18
1,130.71,45,5,36
1,101.64,31,3,42
1,90.02,29,2,26
0,83.78,17,14,33
0,90.32,2,8,40
0,72.5,35,8,46
1,50.21,6,7,31
1,95.59,24,0,63
0,89.36,14,6,56
1,63.29,43,4,31
0,100.36,6,2,62
1,168.81,36,1,54
0,75.21,33,1,24
1,107.29,41,9,41
0,75.32,45,7,38
0,72.29,8,2,47
1,111.26,33,2,60
0,91.35,1,1,53
1,112.42,32,4,38
0,66.57,3,4,18
0,63.8,4,13,48
1,150.57,46,16,60
1,117.93,45,6,30
0,55.25,47,2,54
1,119.73,43,8,49
0,91.31,27,6,19
0,102.26,3,7,55
0,68.86,34,8,22
0,82.12,6,3,44
0,75.8,8,6,26
1,88.62,31,2,64
0,115.22,15,10,48
1,90.85,33,7,51
0,64.2,4,4,23
0,97.3,7,9,53
0,88.23,3,2,39
0,87.95,5,4,63
0,79.94,12,4,53
1,78.1,15,1,52
1,104.06,15,5,24
1,85.12,19,3,55
0,172.46,22,51,43
1,97.74,32,2,39
0,58.07,26,4,44
1,110.14,35,6,47
1,99.98,36,4,55
1,114.84,10,27,61
1,117.04,41,2,26
0,57.87,34,3,36
1,119.09,23,4,57
0,89.88,5,2,59
1,99.86,33,1,47
1,87.38,33,3,28
1,137.63,40,2,25
1,70.81,24,4,39
0,75.94,7,1,51
0,49.75,23,3,20
1,118.16,36,9,51
1,98.87,24,9,50
1,108.04,36,1,58
0,109.79,14,11,58
0,89.95,40,2,49
1,117.32,31,6,37
1,102.22,35,4,46
0,95.25,14,1,44
0,105.36,26,29,35
1,31.35,4,4,28
0,58.6,3,2,44
0,39.35,31,3,36
1,133.97,21,8,42
0,118.96,11,2,51
1,116.43,44,7,62
0,72.54,13,4,34
0,57.61,3,1,45
1,66.4,40,1,48
1,167.68,47,16,35
1,48.53,3,6,42
1,78.65,4,1,53
0,85.93,1,10,62
0,87.38,5,4,55
0,31.2,3,2,20
1,67.77,8,4,37
0,63.65,17,1,59
0,80.95,11,5,38
0,77.47,14,1,56
1,87.22,40,1,22
0,99.34,37,9,50
0,125.76,20,11,21
0,70.76,47,5,40
0,125.24,24,19,39
0,56.73,13,7,26
0,106.13,4,6,37
1,86.48,6,6,32
0,88.56,6,7,39
0,66.82,7,4,29
1,67.41,40,2,25
1,98.19,39,4,49
1,159.56,39,11,63
1,104.1,37,2,61
1,108.34,38,2,28
0,83.29,3,1,33
1,103.29,36,8,28
1,89.11,23,2,31
0,97.06,30,8,50
1,89.97,19,1,58
1,96.7,22,1,50
1,83.58,41,2,25
0,88.42,42,2,44
1,46.59,9,2,21
1,120.28,43,15,28
1,93.7,3,10,32
0,100.19,4,2,62
1,138.01,31,5,30
1,110.67,7,9,46
0,92.02,47,13,24
0,72.26,10,1,42
0,61.6,42,2,49
1,113.9,36,3,49
1,96.15,46,3,51
1,98.87,1,8,63
0,45.23,17,2,50
1,54.71,7,4,62
1,102.9,22,1,25
1,121.51,46,1,33
0,127.23,30,7,60
0,81.58,21,2,18
0,63.4,13,6,21
1,175.91,45,14,63
0,67.84,4,1,62
1,101.98,16,5,56
1,165.18,36,18,57
1,119.85,39,2,60
1,127.48,25,17,62
0,140.55,31,24,48
0,72.71,7,7,29
1,100.4,34,4,34
1,92.34,27,3,38
0,88.72,34,2,55
0,82.73,21,2,40
